ID,Song,Artist,Year,Weeks_in_Charts,Rank,YouTube_Link,ViewCount,Genre
0146,Every Breath You Take,The Police,1983,22,1,https://www.youtube.com/watch?v=OMOGaugKpzs,1701000000.0,Rock
0147,Girl I'm Gonna Miss You,Milli Vanilli,1989,22,1,https://www.youtube.com/watch?v=ZbUENJ5FjBk,294000000.0,Pop
0148,Got My Mind Set On You,George Harrison,1987,22,1,https://www.youtube.com/watch?v=_71w4UA2Oxo,80000000.0,Rock
0149,Have You Ever?,Brandy,1998,22,1,https://www.youtube.com/watch?v=Xkj1An6Wnec,97000000.0,R&B
0150,Higher Love,Steve Winwood,1986,22,1,https://www.youtube.com/watch?v=JR49dyo-y0E,201000000.0,Rock
0151,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1993,22,1,https://www.youtube.com/watch?v=9X_ViIPA-Gc,338000000.0,Rock
0152,I'll Be There For You,Bon Jovi,1989,22,1,https://www.youtube.com/watch?v=mh8MIp2FOhc,340000000.0,Rock
0153,If You Don't Know Me By Now,Simply Red,1989,22,1,https://www.youtube.com/watch?v=zTcu7MCtuTs,174000000.0,R&B
0154,Karma Chameleon,Culture Club,1983,22,1,https://www.youtube.com/watch?v=JmcA9LIIXWw,911000000.0,Pop
0155,Listen To Your Heart,Roxette,1989,22,1,https://www.youtube.com/watch?v=yCC_b5WHLX0,489000000.0,Pop
0156,Livin' On A Prayer,Bon Jovi,1986,22,1,https://www.youtube.com/watch?v=lDK9QqIzhwk,1470000000.0,Rock
0157,MMMBop,Hanson,1997,22,1,https://www.youtube.com/watch?v=NHozn0YXAeE,183000000.0,Pop
0158,Money For Nothing,Dire Straits,1985,22,1,https://www.youtube.com/watch?v=wTP2RUD_cL0,171000000.0,Rock
0159,Nothing's Gonna Stop Us Now,Starship,1987,22,1,https://www.youtube.com/watch?v=3wxyN3z9PL4,708000000.0,Rock
0160,Saving All My Love For You,Whitney Houston,1985,22,1,https://www.youtube.com/watch?v=ewxmv2tyeRs,100000000.0,R&B
0161,Shake You Down,Gregory Abbott,1986,22,1,https://www.youtube.com/watch?v=Uc8wmLul3uw,183000000.0,R&B
0162,The Way It Is,Bruce Hornsby & The Range,1986,22,1,https://www.youtube.com/watch?v=GlRQjzltaMQ,59000000.0,Rock
0163,Vision Of Love,Mariah Carey,1990,22,1,https://www.youtube.com/watch?v=tov22NtCMC4,50000000.0,Pop
0164,When I See You Smile,Bad English,1989,22,1,https://www.youtube.com/watch?v=cu6pclWsxzs,75000000.0,Rock
